geo_point_2d;geo_shape;gml_id;gid;ident;typevoie;etat;cdate;mdate;origine;commune;code_commune
44.82186651428834,-0.6015537717765584;"{""coordinates"": [[-0.601044, 44.82288], [-0.601087, 44.822671], [-0.601217, 44.82237], [-0.601276, 44.822267], [-0.601784, 44.821597], [-0.601848, 44.821487], [-0.601904, 44.821323], [-0.602013, 44.820833]], ""type"": ""LineString""}";CI_TRAFI_L.2151;2151;I83;PENETRANTE;FLUIDE;2020-12-10T16:04:32+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.8188532712363,-0.6008890505697886;"{""coordinates"": [[-0.59964, 44.818933], [-0.59992, 44.818933], [-0.600406, 44.818931], [-0.600546, 44.818924], [-0.600706, 44.818914], [-0.60112, 44.818871], [-0.601411, 44.818823], [-0.601784, 44.818722], [-0.602114, 44.818612]], ""type"": ""LineString""}";CI_TRAFI_L.2152;2152;I60;PENETRANTE;FLUIDE;2020-12-10T16:05:56+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Talence;33522
44.82648559446729,-0.6217354295203951;"{""coordinates"": [[-0.624132, 44.826325], [-0.622647, 44.826484], [-0.621688, 44.826549], [-0.621132, 44.826559], [-0.620625, 44.826554], [-0.620229, 44.826498], [-0.619335, 44.826476]], ""type"": ""LineString""}";CI_TRAFI_L.2153;2153;J05;PENETRANTE;FLUIDE;2020-12-10T16:59:01+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Mérignac;33281
44.82645306711703,-0.617093082733921;"{""coordinates"": [[-0.619335, 44.826476], [-0.618605, 44.826479], [-0.617258, 44.826361], [-0.616926, 44.826344], [-0.616563, 44.826357], [-0.616207, 44.826387], [-0.615795, 44.826459], [-0.615488, 44.826546], [-0.615232, 44.826631], [-0.614891, 44.826754]], ""type"": ""LineString""}";CI_TRAFI_L.2154;2154;J06;PENETRANTE;FLUIDE;2020-12-10T17:41:35+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Mérignac;33281
44.82791368923912,-0.6123537052530792;"{""coordinates"": [[-0.614891, 44.826754], [-0.613714, 44.827322], [-0.612866, 44.827746], [-0.612645, 44.827858], [-0.612411, 44.827974], [-0.612171, 44.828085], [-0.612053, 44.828138], [-0.611921, 44.82819], [-0.611738, 44.828256], [-0.611465, 44.828346], [-0.611245, 44.828418], [-0.611164, 44.828438], [-0.611075, 44.828458], [-0.609835, 44.828864], [-0.609753, 44.828913]], ""type"": ""LineString""}";CI_TRAFI_L.2155;2155;J07;PENETRANTE;FLUIDE;2020-12-10T17:43:33+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.829339345445156,-0.6085269968720499;"{""coordinates"": [[-0.609753, 44.828913], [-0.609404, 44.829029], [-0.608982, 44.829198], [-0.60781, 44.829589], [-0.60769, 44.829623], [-0.607287, 44.829721]], ""type"": ""LineString""}";CI_TRAFI_L.2156;2156;J08;PENETRANTE;FLUIDE;2020-12-10T17:47:27+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.830015193071404,-0.6054852323039119;"{""coordinates"": [[-0.607286, 44.829721], [-0.607137, 44.829766], [-0.606736, 44.829875], [-0.606516, 44.829939], [-0.606305, 44.829989], [-0.606136, 44.830014], [-0.605989, 44.830025], [-0.605415, 44.83005], [-0.60521, 44.830076], [-0.605015, 44.830084], [-0.603998, 44.830126], [-0.603864, 44.830129], [-0.603662, 44.830085]], ""type"": ""LineString""}";CI_TRAFI_L.2157;2157;J09;PENETRANTE;FLUIDE;2020-12-10T17:48:37+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.829804782514984,-0.6030416537032316;"{""coordinates"": [[-0.602986, 44.829274], [-0.603047, 44.829516], [-0.603084, 44.829616], [-0.603115, 44.82967], [-0.603131, 44.829717], [-0.60313, 44.829764], [-0.603118, 44.829822], [-0.603052, 44.829978], [-0.602923, 44.83033]], ""type"": ""LineString""}";CI_TRAFI_L.2158;2158;J11;PENETRANTE;FLUIDE;2020-12-10T17:49:32+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.83317674835196,-0.6006686201259;"{""coordinates"": [[-0.602206, 44.832452], [-0.602079, 44.832921], [-0.60207, 44.832961], [-0.602003, 44.833045], [-0.601924, 44.833114], [-0.601753, 44.833222], [-0.601678, 44.833251], [-0.601491, 44.833306], [-0.600366, 44.83328], [-0.599742, 44.833264], [-0.599311, 44.833239], [-0.598723, 44.833221]], ""type"": ""LineString""}";CI_TRAFI_L.2159;2159;J13;PENETRANTE;FLUIDE;2020-12-10T17:50:40+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
44.833248999999995,-0.596692;"{""coordinates"": [[-0.598561, 44.833225], [-0.594823, 44.833273]], ""type"": ""LineString""}";CI_TRAFI_L.2160;2160;J14;PENETRANTE;FLUIDE;2020-12-10T17:51:45+00:00;2025-12-17T13:50:50+00:00;PC_CIRCULATION;Bordeaux;33063
